# x y
-1.500000000000000000e+01 4.335252267714111846e-02
-1.244166666666666643e+01 -9.997132124605323175e-03
-9.883333333333332860e+00 -4.478784305012279560e-02
-7.325000000000001066e+00 1.178595823904268203e-01
-4.766666666666667496e+00 -2.094812576199504006e-01
-2.208333333333333925e+00 3.638781337241748237e-01
3.499999999999978684e-01 9.797080213012897554e-01
2.908333333333331439e+00 7.947844043551605120e-02
5.466666666666665009e+00 -1.333109170541501298e-01
8.024999999999998579e+00 1.227927683891707200e-01
1.058333333333333215e+01 -8.657246508394109141e-02
1.314166666666666572e+01 4.140138579567582966e-02
1.569999999999999929e+01 5.072091583399582259e-04
