# x y1 y2
0.000000000000000000e+00 -4.377521264415689534e-02 -3.840556448394116112e-02
1.001001001001000992e-02 8.624138561772257128e-02 6.121151816732546547e-02
2.002002002002001985e-02 3.863461342484229150e-02 4.860958654976223897e-02
3.003003003003002977e-02 -2.317232092387671097e-02 1.371784801391399966e-02
4.004004004004003969e-02 6.389648421292196123e-02 -1.477141097753703614e-02
5.005005005005004615e-02 -3.800723193532593025e-02 -1.116904249430679744e-02
6.006006006006005954e-02 -5.970637291043830869e-02 -2.285584280010046626e-02
7.007007007007007293e-02 4.422620569222421999e-02 -1.968937475411576890e-02
8.008008008008007939e-02 7.220095093934286723e-02 -9.036050939767626897e-03
9.009009009009008584e-02 3.050067738700159778e-02 -8.681013679940107267e-03
1.001001001001000923e-01 -9.165250684643169721e-02 -1.849040943061045980e-02
1.101101101101101126e-01 8.647034273519640935e-02 -3.103440335021589308e-02
1.201201201201201191e-01 -1.873151837668567132e-02 2.455013803502647477e-03
1.301301301301301394e-01 8.637639594539664803e-03 7.928076125400000326e-03
1.401401401401401459e-01 4.966493682458140296e-02 2.097771784819798396e-02
1.501501501501501523e-01 -5.457214061141715117e-03 3.903340370787917318e-02
1.601601601601601588e-01 2.580955688832892864e-02 -5.468744602898884671e-02
1.701701701701701652e-01 8.298984849846982592e-02 7.141059448025597473e-03
1.801801801801801717e-01 1.401996925542540497e-02 -4.287617928438837434e-02
1.901901901901901781e-01 -8.086968628443945428e-02 -7.185089633758592886e-03
2.002002002002001846e-01 6.033835073489884904e-02 -4.621895063689796662e-02
2.102102102102102188e-01 -2.307753736385241214e-02 4.357395903507240570e-02
2.202202202202202252e-01 7.708548329831127477e-02 2.024589230133824053e-02
2.302302302302302317e-01 1.164549181221030509e-02 -1.486352537762520784e-02
2.402402402402402382e-01 -4.943334675449317234e-02 -2.329172129610796935e-02
2.502502502502502724e-01 -1.351357694501854369e-02 2.530452955667824699e-03
2.602602602602602788e-01 2.268806708911568631e-02 -1.650423148078548202e-02
2.702702702702702853e-01 9.951064407908855047e-02 2.566946556620523789e-02
2.802802802802802917e-01 -2.232179416593437285e-02 1.138049461841822950e-02
2.902902902902902982e-01 -4.668182685947037946e-02 3.629212444575707214e-02
3.003003003003003046e-01 5.944503202605783132e-02 -3.403403263650572191e-02
3.103103103103103111e-01 1.160780629411943717e-02 -3.281696012715439037e-02
3.203203203203203175e-01 -4.763019633696521926e-02 7.831788236825269756e-02
3.303303303303303240e-01 -4.029655168297353873e-02 7.741369790966144693e-03
3.403403403403403304e-01 4.465214521881908510e-02 1.779065146035673645e-02
3.503503503503503369e-01 -1.111881047688399182e-01 -2.413819521274419844e-02
3.603603603603603434e-01 -6.676936767728638977e-02 -5.843117832155005770e-02
3.703703703703703498e-01 7.524250216680107572e-02 3.742306753747889903e-02
3.803803803803803563e-01 1.200082886037792396e-01 -3.478340476474286319e-02
3.903903903903903627e-01 1.804015081525938563e-02 3.381993601734249039e-02
4.004004004004003692e-01 -3.570716625088891233e-02 -2.869340293148804621e-02
4.104104104104104311e-01 -4.392485124563473911e-03 -1.154353196674402348e-03
4.204204204204204376e-01 4.338755454282570458e-03 -1.294568656205814274e-02
4.304304304304304440e-01 -3.036186644669016180e-02 -5.816159720032250402e-02
4.404404404404404505e-01 2.427700892883349199e-02 2.133278196385878997e-02
4.504504504504504570e-01 3.424449986846819782e-02 3.690883521172599879e-02
4.604604604604604634e-01 2.741296333572484922e-02 1.449657631193107012e-02
4.704704704704704699e-01 -2.238490143964970468e-04 2.290967493682569828e-02
4.804804804804804763e-01 5.974462454837416864e-02 1.142282481483896696e-02
4.904904904904904828e-01 1.719838867010059155e-02 2.839555870053376424e-02
5.005005005005005447e-01 5.440941040527950967e-02 3.343616567166890052e-03
5.105105105105105512e-01 -9.770193779204180279e-03 -3.775565054945290849e-02
5.205205205205205576e-01 -3.990054737191933709e-02 4.043825110304447024e-03
5.305305305305305641e-01 -2.636805353595700688e-02 3.725414861382082832e-02
5.405405405405405705e-01 -9.566522895009529903e-02 -9.674870398161864934e-03
5.505505505505505770e-01 1.881634200652197372e-02 -3.514548244691599599e-02
5.605605605605605835e-01 3.538953466598506598e-02 5.802327341188168869e-02
5.705705705705705899e-01 3.273144919397801000e-02 1.308794622213698810e-03
5.805805805805805964e-01 -3.599270111672102368e-02 5.539620387573898630e-02
5.905905905905906028e-01 8.457634118454564198e-02 -5.429034160094070582e-02
6.006006006006006093e-01 3.262447259234929620e-02 -2.817360221646134696e-03
6.106106106106106157e-01 -4.184695602887844590e-02 1.440906120225907182e-03
6.206206206206206222e-01 -1.183787839617432697e-01 -9.912804565807651486e-03
6.306306306306306286e-01 -1.754497715725280779e-02 1.213495453018354278e-02
6.406406406406406351e-01 1.937629508196573452e-02 2.720608152677068958e-02
6.506506506506506415e-01 -3.246524362089236310e-02 1.501922992729761569e-02
6.606606606606606480e-01 1.073283459554588981e-01 2.388687157103008135e-02
6.706706706706706544e-01 -2.147032967642668877e-02 6.377199844558534281e-02
6.806806806806806609e-01 8.284493290895066087e-02 -3.911638818718559535e-02
6.906906906906906674e-01 4.038570267989304019e-02 3.403429403459234948e-02
7.007007007007006738e-01 8.297795814600122943e-02 3.438239735661645369e-03
7.107107107107106803e-01 7.264992439894697729e-02 -2.731940298676409015e-02
7.207207207207206867e-01 1.487604358361284754e-02 -9.399467212378065546e-04
7.307307307307306932e-01 -1.071211233940343316e-01 -5.708164052901130471e-03
7.407407407407406996e-01 -1.893529504851432232e-02 1.064306347382861125e-02
7.507507507507507061e-01 -3.380866592172581536e-02 3.136094008794902688e-02
7.607607607607607125e-01 1.119788024776030844e-01 -1.910572781055890762e-02
7.707707707707707190e-01 -1.953087279936346204e-02 -3.566933057629861209e-02
7.807807807807807254e-01 5.999865975284287417e-02 -1.094617302180686709e-03
7.907907907907907319e-01 1.294141374746517366e-02 -1.344962086687738999e-02
8.008008008008007383e-01 1.524984347482074253e-02 6.350619503852271593e-03
8.108108108108108558e-01 1.083155483378054956e-03 2.128746981984801223e-02
8.208208208208208623e-01 -3.699019746081842752e-02 7.557623376003469971e-03
8.308308308308308687e-01 1.814992285526898300e-02 -1.940742180435100703e-02
8.408408408408408752e-01 -5.969474000939254538e-02 2.937033286524704662e-02
8.508508508508508816e-01 -5.349980198004597454e-02 6.541947223229241729e-03
8.608608608608608881e-01 -2.214560468397310314e-02 -3.158830542344229914e-02
8.708708708708708945e-01 -1.367464169628381659e-02 4.255625774438307612e-02
8.808808808808809010e-01 5.190324228197859546e-02 6.187299204131291135e-03
8.908908908908909074e-01 -1.720932925687768122e-02 4.151685577261353746e-03
9.009009009009009139e-01 -9.159857800701712294e-02 7.329938241210418037e-02
9.109109109109109204e-01 -1.059228571059869228e-01 -1.973629113018212158e-02
9.209209209209209268e-01 -8.005118178895246142e-03 -2.891732389440050243e-03
9.309309309309309333e-01 2.582284222711446128e-02 -4.642089215459878522e-03
9.409409409409409397e-01 2.296219628998133477e-02 2.746052823535952148e-02
9.509509509509509462e-01 1.131380697856982503e-02 4.384510662795560940e-03
9.609609609609609526e-01 -3.344154151212880982e-02 -1.459004247267080799e-02
9.709709709709709591e-01 6.447087148243729748e-02 5.577029025127730466e-03
9.809809809809809655e-01 -1.247436599998519823e-02 9.304977671814674070e-03
9.909909909909909720e-01 2.961641958006506689e-02 4.704370990074543957e-02
1.001001001001001089e+00 5.068124473131587968e-03 1.236469645026052819e-02
1.011011011011011096e+00 1.781516603929628878e-02 1.416473653509316664e-02
1.021021021021021102e+00 -2.377590029762112131e-02 2.479715074148322596e-02
1.031031031031031109e+00 -2.126966205074070498e-02 -4.269292557199233637e-04
1.041041041041041115e+00 -7.817286051543763381e-02 2.584887565468683632e-02
1.051051051051051122e+00 1.785511523466557296e-02 -2.524171081520340185e-02
1.061061061061061128e+00 -2.840793762249604198e-02 1.996334766685839424e-02
1.071071071071071135e+00 5.295167245043663762e-02 6.784086547068088682e-03
1.081081081081081141e+00 2.149266964814915831e-02 -4.104988686933190405e-03
1.091091091091091148e+00 7.246745910170211691e-02 2.993928801539817372e-02
1.101101101101101154e+00 -2.577026983899302973e-02 2.303956165604740397e-02
1.111111111111111160e+00 3.862881328836086786e-02 -1.852720726983233569e-03
1.121121121121121167e+00 -8.181004693597403177e-02 1.611467261866080317e-02
1.131131131131131173e+00 -2.380909791445328522e-02 -1.998613923153444785e-02
1.141141141141141180e+00 2.136011992284352068e-02 4.734716135238618145e-02
1.151151151151151186e+00 5.053531045147918385e-03 1.277261321905674533e-02
1.161161161161161193e+00 4.429161908372020000e-03 -4.944053445900738197e-02
1.171171171171171199e+00 -1.923437941377756019e-02 -5.485794398999579990e-02
1.181181181181181206e+00 4.648809799396454168e-02 2.105824136298901569e-02
1.191191191191191212e+00 1.567354883060539245e-02 -4.400399272834213532e-02
1.201201201201201219e+00 -7.203530526635970599e-02 2.511623901256057351e-03
1.211211211211211225e+00 1.065204421384296635e-01 6.657882021620677160e-02
1.221221221221221231e+00 6.899436722734943184e-02 1.488741383659723805e-02
1.231231231231231238e+00 -2.650261976125796101e-02 3.284432844873241830e-02
1.241241241241241244e+00 4.823370944518437509e-02 -2.065037911230880457e-02
1.251251251251251251e+00 4.835412731168015760e-02 2.054339171859974680e-02
1.261261261261261257e+00 4.330611268556607690e-02 -4.348448441007581045e-02
1.271271271271271264e+00 -7.498872982976426127e-02 -1.432759511809508085e-02
1.281281281281281270e+00 1.566274364459676605e-01 -3.467731909070658532e-03
1.291291291291291277e+00 3.770620296443556729e-02 -6.961981665609608128e-02
1.301301301301301283e+00 -2.748415911652764276e-02 1.235278119229602824e-02
1.311311311311311290e+00 -4.720524579668700094e-02 2.156525903604666547e-02
1.321321321321321296e+00 -1.439244463030584301e-02 -4.601320960290438203e-03
1.331331331331331302e+00 -1.666814562189426752e-02 3.841318231974972467e-03
1.341341341341341309e+00 -5.395364994568715294e-02 2.250750528561850511e-02
1.351351351351351315e+00 2.088341669691087116e-02 -3.161906214660054754e-02
1.361361361361361322e+00 -7.319702583869995560e-02 -2.496013784641409536e-02
1.371371371371371328e+00 -1.459690903157405406e-02 -1.956051596567432924e-02
1.381381381381381335e+00 -5.142273490924335888e-02 3.066662583353462618e-02
1.391391391391391341e+00 -1.712942858279985908e-02 -3.975660114758326757e-02
1.401401401401401348e+00 2.169213489815077431e-02 2.521520167796987427e-02
1.411411411411411354e+00 3.779414395973773599e-02 -3.881387906168093371e-02
1.421421421421421361e+00 -6.991368143153879611e-02 1.478302629054975038e-02
1.431431431431431367e+00 -3.686168494317684785e-02 2.011647821540717487e-02
1.441441441441441373e+00 3.431905403411728700e-02 5.271556194110476462e-02
1.451451451451451380e+00 3.973642865749126701e-02 -2.370489632183196693e-02
1.461461461461461386e+00 -5.028543357248942830e-02 3.157987782110217162e-02
1.471471471471471393e+00 -6.043317278897542000e-02 -1.669389909402516428e-02
1.481481481481481399e+00 2.892268670829640023e-02 -5.564882329921400778e-02
1.491491491491491406e+00 1.024981625443662780e-01 1.472890065913159442e-02
1.501501501501501412e+00 -1.436580015990365951e-02 2.694439703540254735e-02
1.511511511511511419e+00 3.489907545278032874e-02 -9.837221419365009892e-03
1.521521521521521425e+00 -2.250776353737329871e-02 8.194398253789633713e-03
1.531531531531531432e+00 5.930750142110301215e-02 5.280398904905134888e-02
1.541541541541541438e+00 -6.047599953442680393e-02 -9.730182485975954337e-03
